CLASSE;LIVRES;PRIX
Tle A4 (ALL);Allemand : IHR und WIR Plus 4 (HUEBER);5 000
Tle A4 (ALL);Philosophie : Emergeons en Philosophie. Tles Littéraires (MONDOUX);7 800
Tle A4 (ALL);De la médiocrité à l’excellence (CLE);3 000
Tle A4 (ALL);Essai sur la problématique philosophique en Afrique (CLE);1 800
Tle A4 (ALL);Mathématiques : Majors en Mathématiques (ASVA);3 900
Tle A4 (ALL);Informatique : A la conquête de l’informatique, niveau 7 (R. LUSTRAL);3 500
Tle A4 (ALL);Sciences Tles Littéraires : L’Excellence en Sciences (NMI);4 000
Tle A4 (ALL);HISTOIRE Tles (CAMBRIDGE);5 000
Tle A4 (ESP);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle A4 (ESP);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
Tle A4 (ESP);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle A4 (ESP);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle A4 (ESP);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle A4 (ESP);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
Tle A4 (ESP);Espagnole : NUEVA DIDACTICA DEL ESPANOL V (HABIBI);5 000
Tle A4 (ESP);Philosophie : Emergeons en Philosophie. Tles Littéraires (MONDOUX);7 800
Tle A4 (ESP);De la médiocrité à l’excellence (CLE);3 000
Tle A4 (ESP);Essai sur la problématique philosophique en Afrique (CLE);1 800
Tle A4 (ESP);Mathématiques : Majors en Mathématiques (ASVA);3 900
Tle A4 (ESP);Informatique : A la conquête de l’informatique, niveau 7 (R. LUSTRAL);3 500
Tle A4 (ESP);Sciences Tles Littéraires : L’Excellence en Sciences (NMI);4 000
Tle A4 (ESP);HISTOIRE Tles (CAMBRIDGE);5 000
Tle A4 (CHINOIS);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle A4 (CHINOIS);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
Tle A4 (CHINOIS);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle A4 (CHINOIS);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle A4 (CHINOIS);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle A4 (CHINOIS);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
Tle A4 (CHINOIS);Chinois : BONJOUR CAMEOUN 4 (d/L);3 500
Tle A4 (CHINOIS);Philosophie : Emergeons en Philosophie. Tles Littéraires (MONDOUX);7 800
Tle A4 (CHINOIS);De la médiocrité à l’excellence (CLE);3 000
Tle A4 (CHINOIS);Essai sur la problématique philosophique en Afrique (CLE);1 800
Tle A4 (CHINOIS);Mathématiques : Majors en Mathématiques (ASVA);3 900
Tle A4 (CHINOIS);Informatique : A la conquête de l’informatique, niveau 7 (R. LUSTRAL);3 500
Tle A4 (CHINOIS);Sciences Tles Littéraires : L’Excellence en Sciences (NMI);4 000
Tle A4 (CHINOIS);HISTOIRE Tles (CAMBRIDGE);5 000
Tle A4 (ITALIEN);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle A4 (ITALIEN);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
